2014-07-18 10:40:56,242 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2014-07-18 10:40:56,253 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2014-07-18 10:40:56,254 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2014-07-18 10:40:59,743 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maventest:maven-howdy-plugin:1.0-SNAPSHOT @ /home/sunil/DirAbc/pom.xml.
2014-07-18 10:41:01,166 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-howdy-plugin/src/main/java
2014-07-18 10:41:01,166 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-howdy-plugin/src/test/java
2014-07-18 10:41:01,272 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 3 sec
2014-07-18 10:41:01,480 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-07-18 10:41:01,481 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-07-18 10:41:01,665 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maventest:maven-howdy-plugin:1.0-SNAPSHOT @ /home/sunil/DirAbc/pom.xml.
2014-07-18 10:41:02,084 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maventest:maven-howdy-plugin:1.0-SNAPSHOT @ /home/sunil/DirAbc/pom.xml.
2014-07-18 10:41:02,173 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:41:02,174 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/main/resources
2014-07-18 10:41:02,176 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:41:02,176 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/test/resources
2014-07-18 10:41:03,555 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.maventest:maven-howdy-plugin:1.0-SNAPSHOT @ /home/sunil/DirAbc/pom.xml.
2014-07-18 10:41:03,780 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:41:03,780 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/main/resources
2014-07-18 10:41:03,782 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:41:03,782 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/test/resources
2014-07-18 10:42:24,496 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:42:24,496 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/main/resources
2014-07-18 10:42:24,497 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-18 10:42:24,498 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/sunil/DirAbc/src/test/resources
2014-07-18 10:43:09,964 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
